case,metric,reference,candidate,candidate_minus_reference,reduction_percent,difference_ci95_low,difference_ci95_high,reduction_percent_ci95_low,reduction_percent_ci95_high
all_0_cold,truncated_error_body_ang_vel,0.7513476577646961,0.7395868031815604,-0.011760854583135694,1.56530129050045,-0.017898540046125393,-0.005859144905628834,0.7795126470770022,2.3617275610100794
all_0_warm,failure_rate,0.001953125,0.0,-0.001953125,100.0,-0.005859375,0.0,0.0,100.0
all_0_warm,coverage,0.9987877155172413,1.0,0.0012122844827586743,-0.12137559002023464,0.0,0.003636853448275801,-0.36501284304447135,0.0
all_0_warm,truncated_error_body_pos,0.043431498952263066,0.034679015748895745,-0.008752483203367321,20.152385744243947,-0.009388182743707943,-0.008243462562661777,19.063221683915256,21.254013590478365
all_0_warm,common_error_body_pos,0.043431498952263066,0.0349242757714262,-0.008507223180836868,19.587680338151408,-0.008932198887642783,-0.008114083584666124,18.413848260264604,20.78426885271157
all_0_warm,truncated_error_joint_pos,0.5631461269188807,0.4907851370017632,-0.07236098991711748,12.849416245304452,-0.07626125038652595,-0.06832345567069723,11.98199002717257,13.66995675322987
all_0_warm,common_error_joint_pos,0.5631461269188807,0.49122730780164503,-0.07191881911723563,12.770898294324112,-0.0757994400161315,-0.06796044170620064,11.914470803380294,13.601064610738515
all_0_warm,truncated_error_anchor_pos,0.21629539061075104,0.17748736339288385,-0.03880802721786719,17.94214250626672,-0.04699686750646511,-0.030528131860105428,14.599575163587298,21.163760718630996
all_0_warm,truncated_error_anchor_rot,0.09016300732349374,0.06830249940258709,-0.021860507920906644,24.245539905821733,-0.023494506202219184,-0.020319200556007434,22.63013803434462,25.952251351726368
all_0_warm,truncated_error_body_rot,0.1700722700661265,0.1364412115903167,-0.0336310584758098,19.77456904804856,-0.0350698352769006,-0.032177309454274335,18.860335515609506,20.71914592721867
all_0_warm,truncated_error_joint_vel,3.028878250970074,3.00561095724139,-0.023267293728683747,0.7681818746340107,-0.04551114539346416,-0.0021279590760140627,0.07043198154904032,1.493961131112975
all_0_warm,truncated_error_anchor_lin_vel,0.1508761403757833,0.1379114498887215,-0.012964690487061808,8.592936202351803,-0.015744854785105157,-0.010371991284777782,7.008471135948031,10.212621143290853
all_0_warm,truncated_error_anchor_ang_vel,0.37292744948337114,0.35124200652418053,-0.021685442959190615,5.814922711973115,-0.025372368293396286,-0.01794808569550845,4.858107719740162,6.7522686601755995
all_0_warm,truncated_error_body_lin_vel,0.18697264878226905,0.17460454923603563,-0.012368099546233413,6.614924496596372,-0.01498356684608694,-0.00982761506744659,5.307568502250193,7.921928718348143
