case,metric,baseline,moe,moe_minus_baseline,difference_ci95_low,difference_ci95_high,error_reduction_percent,error_reduction_ci95
all_4_cold,truncated_error_body_lin_vel,0.364800897919653,0.3606225483200119,-0.004178349599641085,-0.010879050941945646,0.00224376468750692,1.1453781017176559,"[-0.6342768274824708, 2.900363252850902]"
all_4_cold,truncated_error_body_ang_vel,1.5698867107580217,1.5849638484954283,0.015077137737406598,-0.010341660216794247,0.03686473539551877,-0.960396545437765,"[-2.402251428710956, 0.6436693094305892]"
all_4_warm,failure_rate,0.060546875,0.056640625,-0.00390625,-0.015625,0.005859375,,[]
all_4_warm,coverage,0.9632790348198672,0.9655380197975516,0.0022589849776843973,-0.004752147742347538,0.009922553159602247,,[]
all_4_warm,truncated_error_body_pos,0.059581155952152146,0.0603579754088998,0.0007768194567476516,-7.660239372864006e-05,0.001619497355756756,-1.3038005797864887,"[-2.7611033380376946, 0.12933629712383315]"
all_4_warm,common_error_body_pos,0.059266620606327945,0.060029460717931526,0.0007628401116035813,1.7447000958232755e-05,0.0014663335870605098,-1.287132797178809,"[-2.5112987778983062, -0.03012529340658246]"
all_4_warm,truncated_error_joint_pos,0.8414404338306807,0.8410020623322148,-0.00043837149846592816,-0.00898499600129428,0.007429940976033818,0.052097745822628216,"[-0.8891534614983099, 1.0501459414115537]"
all_4_warm,common_error_joint_pos,0.8386251375886615,0.838655711848086,3.0574259424431816e-05,-0.00723265954116129,0.006686015504952851,-0.0036457599532901466,"[-0.7981456442385433, 0.8554563050855826]"
all_4_warm,truncated_error_anchor_pos,0.48733678409572195,0.4627964603907776,-0.024540323704944356,-0.04436746203546881,-0.005331913204759906,5.035598482573026,"[1.1398181252344488, 8.886177954979773]"
all_4_warm,truncated_error_anchor_rot,0.08463077361867727,0.09194297949885483,0.007312205880177558,0.00525065324548296,0.00933917664923143,-8.640126478252846,"[-11.215980370951105, -6.1086385050202]"
all_4_warm,truncated_error_body_rot,0.27258741586422225,0.2785844864947465,0.005997070630524237,0.003314590446769633,0.008526585039494994,-2.2000541042993054,"[-3.1173545568031327, -1.2148341116562134]"
all_4_warm,truncated_error_joint_vel,5.817895740702758,5.7802775649793325,-0.037618175723425296,-0.1139357356379352,0.03256302373904982,0.6465941880024358,"[-0.5671353246794009, 1.9447884716831165]"
all_4_warm,truncated_error_anchor_lin_vel,0.2808018860032361,0.27644572385534694,-0.004356162147889142,-0.010207761600619685,0.001265359229186589,1.5513293766976124,"[-0.46666286938022333, 3.579578634599538]"
all_4_warm,truncated_error_anchor_ang_vel,0.6128793061722655,0.6295372828448103,0.01665797667254476,0.005046455893523247,0.02763649824565215,-2.7179864787052557,"[-4.590428594656358, -0.8073654358462139]"
all_4_warm,truncated_error_body_lin_vel,0.36386909500571074,0.36226477422645287,-0.0016043207792578729,-0.007718944741455201,0.00410690902802315,0.44090602946993723,"[-1.1439320929908596, 2.0832983956170934]"
all_4_warm,truncated_error_body_ang_vel,1.5670222073362305,1.5772032273237087,0.010181019987478113,-0.009354663929274315,0.02921873973855315,-0.6497048950432396,"[-1.8641781861690543, 0.5884726925914808]"
