update,episode_return,episode_length,return_per_recorded_step,long_full_fraction
1120,190.69495852947236,799.3025,0.23857670722845525,
1121,184.66719141274692,761.675,0.24244880219614262,
1122,179.98871469113976,754.5925,0.23852438858210195,
1123,191.6711574126035,798.3325,0.2400893830735984,
1124,187.03405234381557,773.46,0.24181477043908614,
1125,189.43646723009647,795.76,0.23805728766223042,
1126,184.18902009248734,766.9825,0.24014761756948477,
1127,180.51238725733012,755.1125,0.23905363407085717,
1128,188.20185250543057,782.81,0.24041830393764843,
1129,183.3246521434188,760.28,0.2411278109951844,
1130,186.65986581265926,775.8675,0.2405821429724267,
1131,192.0529407477379,802.1475,0.2394234735478673,
1132,172.48046741127968,728.025,0.23691558313420513,
1133,182.62082886002958,758.6725,0.24071101675628095,
1134,191.20042424291373,797.785,0.239664100281296,
1135,190.02570823967457,789.3075,0.24074990829261672,
1136,184.87427904464303,771.825,0.23952875204177504,
1137,187.97080459803342,783.825,0.23981220884512922,
1138,187.38294494226574,771.6325,0.24283962241386375,
1139,187.20513883158566,774.085,0.24184054571731226,
1140,181.02624031892978,757.5925,0.23894935644020998,
